topology,variant,size_param,mode,run,seed,switches,switchports,servers,raw_k,random_baseline_k,relative_to_random
Dragonfly,balanced-original,p2,0,1,4020001,36,7,36,1.4490850671,2.1160741716,0.6847988065
Dragonfly,balanced-original,p2,1,1,4020101,36,7,36,0.0603829240,0.0763883935,0.7904724950
Dragonfly,balanced-original,p2,4,1,4020401,36,7,36,1.2222254125,1.7058827118,0.7164768152
Dragonfly,balanced-original,p3,0,1,4030001,114,11,114,2.0471667227,3.3186345978,0.6168701803
Dragonfly,balanced-original,p3,1,1,4030101,114,11,114,0.0273301549,0.0385213827,0.7094801117
Dragonfly,balanced-original,p3,4,1,4030401,114,11,114,1.6666662788,3.0039555943,0.5548238735
Dragonfly,balanced-original,p4,0,1,4040001,264,15,264,2.5184444581,4.5096028177,0.5584625875
Dragonfly,balanced-original,p4,1,1,4040101,264,15,264,0.0154781548,0.0221021298,0.7003015067
Dragonfly,balanced-original,p4,4,1,4040401,264,15,264,2.0999994614,4.2280677077,0.4966806604
Fat-tree,sigcomm,k10,0,1,1100001,125,10,250,0.9999996078,1.3192641735,0.7579980021
Fat-tree,sigcomm,k10,1,1,1100101,125,10,250,0.0204079904,0.0063697507,3.2038915432
Fat-tree,sigcomm,k10,4,1,1100401,125,10,250,0.9999999367,1.0170453790,0.9832402343
