topology,variant,size_param,mode,run,seed,switches,switchports,servers,raw_k,random_baseline_k,relative_to_random
Fat-tree,sigcomm,k10,0,1,1100001,125,10,250,0.9999996078,1.3192641735,0.7579980021
Fat-tree,sigcomm,k10,1,1,1100101,125,10,250,0.0040816388,0.0063697507,0.6407847014
Fat-tree,sigcomm,k10,4,1,1100401,125,10,250,0.9999999367,1.0170453790,0.9832402343
Fat-tree,sigcomm,k12,0,1,1120001,180,12,432,0.9999994195,1.3371592163,0.7478536642
Fat-tree,sigcomm,k12,1,1,1120101,180,12,432,0.0023473846,0.0036496333,0.6431836864
Fat-tree,sigcomm,k12,4,1,1120401,180,12,432,0.9999998790,1.0778647641,0.9277600607
Fat-tree,sigcomm,k14,0,1,1140001,245,14,686,0.9999999777,1.3749445727,0.7273020292
Fat-tree,sigcomm,k14,1,1,1140101,245,14,686,0.0014727422,0.0023010806,0.6400219966
Fat-tree,sigcomm,k14,4,1,1140401,245,14,686,0.9999980831,1.1210296416,0.8920353628
Fat-tree,sigcomm,k16,0,1,1160001,320,16,1024,1.0000009042,1.3934778263,0.7176295778
Fat-tree,sigcomm,k16,1,1,1160101,320,16,1024,0.0009842439,0.0015350763,0.6411693673
Fat-tree,sigcomm,k16,4,1,1160401,320,16,1024,0.9999998478,1.1429079393,0.8749609775
Fat-tree,sigcomm,k6,0,1,1060001,45,6,54,0.9999983880,1.1796379437,0.8477163636
Fat-tree,sigcomm,k6,1,1,1060101,45,6,54,0.0196078410,0.0192304948,1.0196222824
Fat-tree,sigcomm,k6,4,1,1060401,45,6,54,1.0000024435,0.9029122033,1.1075301008
Fat-tree,sigcomm,k8,0,1,1080001,80,8,128,0.9999985916,1.2955653105,0.7718627409
Fat-tree,sigcomm,k8,1,1,1080101,80,8,128,0.0080645081,0.0123673589,0.6520800573
Fat-tree,sigcomm,k8,4,1,1080401,80,8,128,1.0000108969,1.0239015744,0.9766670175
Jellyfish,same-equipment-fat-tree,k10,0,1,2100001,125,10,250,1.3285957677,1.3509842073,0.9834280523
Jellyfish,same-equipment-fat-tree,k10,1,1,2100101,125,10,250,0.0063882954,0.0063774802,1.0016958422
Jellyfish,same-equipment-fat-tree,k10,4,1,2100401,125,10,250,1.0319630577,1.0298152916,1.0020855838
Jellyfish,same-equipment-fat-tree,k12,0,1,2120001,180,12,432,1.3672657094,1.3472139774,1.0148838509
Jellyfish,same-equipment-fat-tree,k12,1,1,2120101,180,12,432,0.0036552565,0.0036459694,1.0025472238
Jellyfish,same-equipment-fat-tree,k12,4,1,2120401,180,12,432,1.0802813085,1.0935312400,0.9878833535
Jellyfish,same-equipment-fat-tree,k14,0,1,2140001,245,14,686,1.3767480729,1.3830413169,0.9954497064
Jellyfish,same-equipment-fat-tree,k14,1,1,2140101,245,14,686,0.0023004471,0.0022979611,1.0010818286
Jellyfish,same-equipment-fat-tree,k14,4,1,2140401,245,14,686,1.1165112117,1.1118241036,1.0042156921
Jellyfish,same-equipment-fat-tree,k16,0,1,2160001,320,16,1024,1.3822516114,1.3778693042,1.0031804956
Jellyfish,same-equipment-fat-tree,k16,1,1,2160101,320,16,1024,0.0015367200,0.0015338692,1.0018585679
Jellyfish,same-equipment-fat-tree,k16,4,1,2160401,320,16,1024,1.1456063704,1.1387112359,1.0060552090
Jellyfish,same-equipment-fat-tree,k6,0,1,2060001,45,6,54,1.2256618474,1.1700562861,1.0475238345
Jellyfish,same-equipment-fat-tree,k6,1,1,2060101,45,6,54,0.0192306933,0.0279672099,0.6876157246
Jellyfish,same-equipment-fat-tree,k6,4,1,2060401,45,6,54,0.9710266412,0.9718419055,0.9991611143
Jellyfish,same-equipment-fat-tree,k8,0,1,2080001,80,8,128,1.3036969207,1.2833926852,1.0158207505
Jellyfish,same-equipment-fat-tree,k8,1,1,2080101,80,8,128,0.0124005595,0.0121403987,1.0214293456
Jellyfish,same-equipment-fat-tree,k8,4,1,2080401,80,8,128,0.9843298719,1.0060778131,0.9783834402
