topology,variant,size_param,mode,avg_raw_k,avg_random_baseline_k,avg_relative_to_random,nruns
Fat-tree,sigcomm,k10,0,1,1.31926,0.757998,1
Fat-tree,sigcomm,k10,1,0.00408164,0.00636975,0.640785,1
Fat-tree,sigcomm,k10,4,1,1.01705,0.98324,1
Fat-tree,sigcomm,k12,0,0.999999,1.33716,0.747854,1
Fat-tree,sigcomm,k12,1,0.00234738,0.00364963,0.643184,1
Fat-tree,sigcomm,k12,4,1,1.07786,0.92776,1
Fat-tree,sigcomm,k14,0,1,1.37494,0.727302,1
Fat-tree,sigcomm,k14,1,0.00147274,0.00230108,0.640022,1
Fat-tree,sigcomm,k14,4,0.999998,1.12103,0.892035,1
Fat-tree,sigcomm,k16,0,1,1.39348,0.71763,1
Fat-tree,sigcomm,k16,1,0.000984244,0.00153508,0.641169,1
Fat-tree,sigcomm,k16,4,1,1.14291,0.874961,1
Fat-tree,sigcomm,k6,0,0.999998,1.17964,0.847716,1
Fat-tree,sigcomm,k6,1,0.0196078,0.0192305,1.01962,1
Fat-tree,sigcomm,k6,4,1,0.902912,1.10753,1
Fat-tree,sigcomm,k8,0,0.999999,1.29557,0.771863,1
Fat-tree,sigcomm,k8,1,0.00806451,0.0123674,0.65208,1
Fat-tree,sigcomm,k8,4,1.00001,1.0239,0.976667,1
Jellyfish,same-equipment-fat-tree,k10,0,1.3286,1.35098,0.983428,1
Jellyfish,same-equipment-fat-tree,k10,1,0.0063883,0.00637748,1.0017,1
Jellyfish,same-equipment-fat-tree,k10,4,1.03196,1.02982,1.00209,1
Jellyfish,same-equipment-fat-tree,k12,0,1.36727,1.34721,1.01488,1
Jellyfish,same-equipment-fat-tree,k12,1,0.00365526,0.00364597,1.00255,1
Jellyfish,same-equipment-fat-tree,k12,4,1.08028,1.09353,0.987883,1
Jellyfish,same-equipment-fat-tree,k14,0,1.37675,1.38304,0.99545,1
Jellyfish,same-equipment-fat-tree,k14,1,0.00230045,0.00229796,1.00108,1
Jellyfish,same-equipment-fat-tree,k14,4,1.11651,1.11182,1.00422,1
Jellyfish,same-equipment-fat-tree,k16,0,1.38225,1.37787,1.00318,1
Jellyfish,same-equipment-fat-tree,k16,1,0.00153672,0.00153387,1.00186,1
Jellyfish,same-equipment-fat-tree,k16,4,1.14561,1.13871,1.00606,1
Jellyfish,same-equipment-fat-tree,k6,0,1.22566,1.17006,1.04752,1
Jellyfish,same-equipment-fat-tree,k6,1,0.0192307,0.0279672,0.687616,1
Jellyfish,same-equipment-fat-tree,k6,4,0.971027,0.971842,0.999161,1
Jellyfish,same-equipment-fat-tree,k8,0,1.3037,1.28339,1.01582,1
Jellyfish,same-equipment-fat-tree,k8,1,0.0124006,0.0121404,1.02143,1
Jellyfish,same-equipment-fat-tree,k8,4,0.98433,1.00608,0.978383,1
