topology,variant,size_param,mode,run,seed,switches,switchports,servers,raw_k,random_baseline_k,relative_to_random
Dragonfly,balanced-original,p2,0,1,4020001,36,7,36,1.4490850671,2.1160741716,0.6847988065
Dragonfly,balanced-original,p2,0,2,4020002,36,7,36,1.5574083542,2.0773891554,0.7496950440
Dragonfly,balanced-original,p2,0,3,4020003,36,7,36,1.5280912685,1.9999971713,0.7640467149
Dragonfly,balanced-original,p2,1,1,4020101,36,7,36,0.0603829240,0.0763883935,0.7904724950
Dragonfly,balanced-original,p2,1,2,4020102,36,7,36,0.0603829240,0.0802977259,0.7519879713
Dragonfly,balanced-original,p2,1,3,4020103,36,7,36,0.0603829240,0.0789627534,0.7647013484
Dragonfly,balanced-original,p2,4,1,4020401,36,7,36,1.2222254125,1.7058827118,0.7164768152
Dragonfly,balanced-original,p2,4,2,4020402,36,7,36,1.2222254125,1.6470583463,0.7420656440
Dragonfly,balanced-original,p2,4,3,4020403,36,7,36,1.2222254125,1.5294127697,0.7991468600
Dragonfly,balanced-original,p3,0,1,4030001,114,11,114,2.0471667227,3.3186345978,0.6168701803
Dragonfly,balanced-original,p3,0,2,4030002,114,11,114,2.0321114851,3.3636279694,0.6041427600
Dragonfly,balanced-original,p3,0,3,4030003,114,11,114,1.9728524012,3.2818742980,0.6011358821
Dragonfly,balanced-original,p3,1,1,4030101,114,11,114,0.0273301549,0.0385213827,0.7094801117
Dragonfly,balanced-original,p3,1,2,4030102,114,11,114,0.0273301549,0.0386153220,0.7077541630
Dragonfly,balanced-original,p3,1,3,4030103,114,11,114,0.0273301549,0.0383885546,0.7119349813
Dragonfly,balanced-original,p3,4,1,4030401,114,11,114,1.6666662788,3.0039555943,0.5548238735
Dragonfly,balanced-original,p3,4,2,4030402,114,11,114,1.6666662788,3.0272630856,0.5505521759
Dragonfly,balanced-original,p3,4,3,4030403,114,11,114,1.6666662788,3.0336348827,0.5493958051
Dragonfly,balanced-original,p4,0,1,4040001,264,15,264,2.5184444581,4.5096028177,0.5584625875
Dragonfly,balanced-original,p4,0,2,4040002,264,15,264,2.4951558040,4.5048124835,0.5538867185
Dragonfly,balanced-original,p4,0,3,4040003,264,15,264,2.4903509837,4.4557491249,0.5589073608
Dragonfly,balanced-original,p4,1,1,4040101,264,15,264,0.0154781548,0.0221021298,0.7003015067
Dragonfly,balanced-original,p4,1,2,4040102,264,15,264,0.0154781548,0.0221325869,0.6993378076
Dragonfly,balanced-original,p4,1,3,4040103,264,15,264,0.0154781548,0.0221646296,0.6983267972
Dragonfly,balanced-original,p4,4,1,4040401,264,15,264,2.0999994614,4.2280677077,0.4966806604
Dragonfly,balanced-original,p4,4,2,4040402,264,15,264,2.0999994614,4.2169543544,0.4979896117
Dragonfly,balanced-original,p4,4,3,4040403,264,15,264,2.0999994614,4.2285502054,0.4966239868
Hypercube,uniform-server,m10,0,1,3100001,1024,11,1024,1.8962942304,2.4770548931,0.7655438867
Hypercube,uniform-server,m10,0,2,3100002,1024,11,1024,1.8686197362,2.4779300729,0.7541051124
Hypercube,uniform-server,m10,0,3,3100003,1024,11,1024,1.8963004133,2.4795274156,0.7647829991
Hypercube,uniform-server,m10,1,1,3100101,1024,11,1024,0.0019531228,0.0029588805,0.6600884355
Hypercube,uniform-server,m10,1,2,3100102,1024,11,1024,0.0019531228,0.0029592441,0.6600073309
Hypercube,uniform-server,m10,1,3,3100103,1024,11,1024,0.0019531228,0.0029610043,0.6596149827
Hypercube,uniform-server,m10,4,1,3100401,1024,11,1024,0.0000000000,2.2693454631,0.0000000000
Hypercube,uniform-server,m10,4,2,3100402,1024,11,1024,0.0000000000,2.2688580391,0.0000000000
Hypercube,uniform-server,m10,4,3,3100403,1024,11,1024,0.0000000000,2.2679995949,0.0000000000
Hypercube,uniform-server,m6,0,1,3060001,64,7,64,1.8728132291,1.8591543115,1.0073468445
Hypercube,uniform-server,m6,0,2,3060002,64,7,64,1.6842096808,1.8928808064,0.8897600288
Hypercube,uniform-server,m6,0,3,3060003,64,7,64,1.7777790367,1.8204590379,0.9765553631
Hypercube,uniform-server,m6,1,1,3060101,64,7,64,0.0312500610,0.0380952853,0.8203130848
Hypercube,uniform-server,m6,1,2,3060102,64,7,64,0.0312500610,0.0382871388,0.8162025677
Hypercube,uniform-server,m6,1,3,3060103,64,7,64,0.0312500610,0.0382321804,0.8173758513
Hypercube,uniform-server,m6,4,1,3060401,64,7,64,0.0000000000,1.5133126538,0.0000000000
Hypercube,uniform-server,m6,4,2,3060402,64,7,64,0.0000000000,1.6009951285,0.0000000000
Hypercube,uniform-server,m6,4,3,3060403,64,7,64,0.0000000000,1.5333332718,0.0000000000
Hypercube,uniform-server,m7,0,1,3070001,128,8,128,1.8285714573,2.0390598760,0.8967718304
Hypercube,uniform-server,m7,0,2,3070002,128,8,128,1.7297332897,2.0099308368,0.8605934384
Hypercube,uniform-server,m7,0,3,3070003,128,8,128,1.8285693439,2.0639477609,0.8859571829
Hypercube,uniform-server,m7,1,1,3070101,128,8,128,0.0156249404,0.0204857852,0.7627210892
Hypercube,uniform-server,m7,1,2,3070102,128,8,128,0.0156249404,0.0204016430,0.7658667687
Hypercube,uniform-server,m7,1,3,3070103,128,8,128,0.0156249404,0.0204828144,0.7628317132
Hypercube,uniform-server,m7,4,1,3070401,128,8,128,0.0000000000,1.7292804342,0.0000000000
Hypercube,uniform-server,m7,4,2,3070402,128,8,128,0.0000000000,1.7105918564,0.0000000000
Hypercube,uniform-server,m7,4,3,3070403,128,8,128,0.0000000000,1.7000198323,0.0000000000
Hypercube,uniform-server,m8,0,1,3080001,256,9,256,1.8028128088,2.2059171108,0.8172622625
Hypercube,uniform-server,m8,0,2,3080002,256,9,256,1.8823550723,2.2129854835,0.8505953095
Hypercube,uniform-server,m8,0,3,3080003,256,9,256,1.8823555374,2.2077178264,0.8526250569
Hypercube,uniform-server,m8,1,1,3080101,256,9,256,0.0078125229,0.0108020637,0.7232435502
Hypercube,uniform-server,m8,1,2,3080102,256,9,256,0.0078125229,0.0107851614,0.7243770038
Hypercube,uniform-server,m8,1,3,3080103,256,9,256,0.0078125229,0.0108533466,0.7198261686
Hypercube,uniform-server,m8,4,1,3080401,256,9,256,0.0000000000,1.9421396864,0.0000000000
Hypercube,uniform-server,m8,4,2,3080402,256,9,256,0.0000000000,1.9195850243,0.0000000000
Hypercube,uniform-server,m8,4,3,3080403,256,9,256,0.0000000000,1.9397460263,0.0000000000
Hypercube,uniform-server,m9,0,1,3090001,512,10,512,1.8550762477,2.3450002702,0.7910772000
Hypercube,uniform-server,m9,0,2,3090002,512,10,512,1.8550718351,2.3482835683,0.7899692610
Hypercube,uniform-server,m9,0,3,3090003,512,10,512,1.8686154950,2.3421978447,0.7978042928
Hypercube,uniform-server,m9,1,1,3090101,512,10,512,0.0039062098,0.0056831017,0.6873376558
Hypercube,uniform-server,m9,1,2,3090102,512,10,512,0.0039062098,0.0056815111,0.6875300833
Hypercube,uniform-server,m9,1,3,3090103,512,10,512,0.0039062098,0.0056805016,0.6876522665
Hypercube,uniform-server,m9,4,1,3090401,512,10,512,0.0000000000,2.1384637014,0.0000000000
Hypercube,uniform-server,m9,4,2,3090402,512,10,512,0.0000000000,2.1192306029,0.0000000000
Hypercube,uniform-server,m9,4,3,3090403,512,10,512,0.0000000000,2.1255786797,0.0000000000
