topology,variant,size_param,mode,avg_raw_k,avg_random_baseline_k,avg_relative_to_random,nruns
Dragonfly,balanced-original,p2,0,1.51153,2.06449,0.732847,3
Dragonfly,balanced-original,p2,1,0.0603829,0.0785496,0.769054,3
Dragonfly,balanced-original,p2,4,1.22223,1.62745,0.752563,3
Dragonfly,balanced-original,p3,0,2.01738,3.32138,0.607383,3
Dragonfly,balanced-original,p3,1,0.0273302,0.0385084,0.709723,3
Dragonfly,balanced-original,p3,4,1.66667,3.02162,0.551591,3
Dragonfly,balanced-original,p4,0,2.50132,4.49005,0.557086,3
Dragonfly,balanced-original,p4,1,0.0154782,0.0221331,0.699322,3
Dragonfly,balanced-original,p4,4,2.1,4.22452,0.497098,3
Hypercube,uniform-server,m10,0,1.88707,2.47817,0.761477,3
Hypercube,uniform-server,m10,1,0.00195312,0.00295971,0.659904,3
Hypercube,uniform-server,m10,4,0,2.26873,0,3
Hypercube,uniform-server,m6,0,1.77827,1.8575,0.957887,3
Hypercube,uniform-server,m6,1,0.0312501,0.0382049,0.817964,3
Hypercube,uniform-server,m6,4,0,1.54921,0,3
Hypercube,uniform-server,m7,0,1.79562,2.03765,0.881107,3
Hypercube,uniform-server,m7,1,0.0156249,0.0204567,0.763807,3
Hypercube,uniform-server,m7,4,0,1.7133,0,3
Hypercube,uniform-server,m8,0,1.85584,2.20887,0.840161,3
Hypercube,uniform-server,m8,1,0.00781252,0.0108135,0.722482,3
Hypercube,uniform-server,m8,4,0,1.93382,0,3
Hypercube,uniform-server,m9,0,1.85959,2.34516,0.79295,3
Hypercube,uniform-server,m9,1,0.00390621,0.0056817,0.687507,3
Hypercube,uniform-server,m9,4,0,2.12776,0,3
